8  																						
12																							
143	243	143	357	428	357	428	243	371	243	371	300	314	300	314	243	257	243	257	300	200	300	200	243
141	241	141	359	430	359	430	241	369	241	369	298	316	298	316	241	255	241	255	298	202	298	202	241
12																							
171	447	399	447	285	333	342	276	312	276	312	219	369	162	198	162	255	219	255	276	227	276	285	333
167	449	403	449	287	333	344	274	314	274	314	220	373	160	194	160	253	220	253	274	225	272	283	333
8																							
228	384	342	384	342	270	399	270	399	213	171	213	171	270	228	270								
226	386	344	386	344	272	401	272	401	211	169	211	169	272	226	272								
4																							
285	414	399	300	285	186	171	300																
285	417	402	300	285	183	168	300																
6																							
285	414	399	414	285	300	399	186	285	186	171	300												
284	416	403	416	288	300	403	184	284	184	168	300												
3																							
124	380	446	380	285	220																		
120	382	450	382	285	217																		
8																							
285	438	399	324	285	324	365	243	285	163	205	244	285	324	171	324								
285	441	403	322	289	322	368	243	285	160	202	244	281	322	167	322								
11																							
238	442	352	442	352	100	238	214	295	214	238	271	295	271	238	328	295	328	238	385	295	385		
234	444	354	444	354	96	234	216	291	216	234	273	291	273	234	330	291	330	234	387	291	387		
